id_vente,date,id_client,id_produit,id_canal,quantite,prix_unitaire,remise_pct,montant,statut
VNT000022,2023-06-02,CLT04139,PRD0030,CH05,6,2042.84,0,12257.04,livré
VNT000023,2022-12-08,CLT10529,PRD0307,CH04,1,147.05,15,124.99,en_cours
VNT000024,2023-12-12,CLT02037,PRD0045,CH05,2,994.16,20,1590.66,livré
VNT000025,2022-10-16,CLT02908,PRD0316,CH04,2,208.41,5,395.98,livré
VNT000026,2022-01-23,CLT04234,PRD0349,CH06,1,105.97,0,105.97,en_cours
VNT000027,2023-04-30,CLT03585,PRD0102,CH05,4,89.98,0,359.92,livré
VNT000028,2024-03-02,CLT07599,PRD0287,CH09,7,96.89,5,644.32,livré
VNT000029,2023-06-26,CLT11077,PRD0056,CH07,1,124.74,10,112.27,livré
VNT000030,2024-07-12,CLT11293,PRD0311,CH05,4,96.09,0,384.36,livré
VNT000031,2022-05-17,CLT02894,PRD0009,CH01,2,3103.71,0,6207.42,en_cours
VNT000032,2023-10-16,CLT03771,PRD0214,CH02,1,2664.81,15,2265.09,livré
VNT000033,2024-05-01,CLT05081,PRD0238,CH02,1,2784.38,5,2645.16,livré
VNT000034,2024-09-05,CLT10933,PRD0390,CH06,2,70.31,0,140.62,livré
VNT000035,2022-05-08,CLT01822,PRD0039,CH04,1,2417.32,0,2417.32,livré
VNT000036,2024-04-24,CLT07841,PRD0217,CH04,2,774.51,10,1394.12,livré
VNT000037,2024-02-20,CLT06372,PRD0390,CH03,1,70.31,5,66.79,livré
VNT000038,2022-04-04,CLT03344,PRD0063,CH06,4,477.74,10,1719.86,livré
VNT000039,2022-06-26,CLT00412,PRD0099,CH01,2,389.86,0,779.72,livré
VNT000040,2024-04-18,CLT03864,PRD0296,CH03,1,226.06,0,226.06,livré
VNT000041,2022-01-29,CLT06052,PRD0246,CH02,4,2732.03,0,10928.12,livré
VNT000042,2023-11-10,CLT11214,PRD0101,CH02,2,32.1,0,64.2,annulé
VNT000043,2024-01-04,CLT08692,PRD0233,CH04,6,2728.39,0,16370.34,en_cours
VNT000044,2023-08-10,CLT00923,PRD0006,CH04,3,486.86,0,1460.58,livré
VNT000045,2024-11-28,CLT01625,PRD0068,CH01,2,486.01,0,972.02,livré
VNT000046,2023-02-06,CLT01973,PRD0201,CH05,1,2198.14,0,2198.14,livré
VNT000047,2024-01-31,CLT00879,PRD0053,CH02,4,626.15,5,2379.37,livré
VNT000048,2022-02-14,CLT07356,PRD0285,CH01,3,179.03,0,537.09,livré
VNT000049,2023-01-30,CLT08730,PRD0209,CH06,7,520.91,10,3281.73,livré
VNT000050,2023-10-01,CLT06301,PRD0072,CH06,4,438.05,0,1752.2,livré
VNT000051,2022-03-01,CLT06375,PRD0318,CH06,2,269.14,0,538.28,livré
VNT000052,2023-02-10,CLT11990,PRD0033,CH05,2,1666.21,10,2999.18,en_cours
VNT000053,2024-12-19,CLT05641,PRD0101,CH05,1,32.1,0,32.1,livré
VNT000054,2023-12-12,CLT01845,PRD0312,CH01,5,111.11,5,527.77,livré
VNT000055,2023-01-03,CLT08912,PRD0333,CH04,2,128.39,10,231.1,livré
VNT000056,2024-08-18,CLT06757,PRD0263,CH06,2,357.2,15,607.24,livré
VNT000057,2024-01-13,CLT03315,PRD0239,CH04,2,2668.74,0,5337.48,en_cours
VNT000058,2024-04-15,CLT05282,PRD0379,CH04,1,517.7,15,440.05,en_cours
VNT000059,2023-09-15,CLT03577,PRD0353,CH05,2,434.77,10,782.59,livré
VNT000060,2022-09-13,CLT08542,PRD0013,CH01,6,1290.39,5,7355.22,livré
VNT000061,2024-02-08,CLT02273,PRD0339,CH08,1,197.62,0,197.62,livré
VNT000062,2024-12-30,CLT00828,PRD0188,CH03,2,83.26,20,133.22,livré
VNT000063,2022-02-13,CLT09058,PRD0268,CH06,1,377.33,0,377.33,en_cours
VNT000064,2023-05-16,CLT11901,PRD0230,CH08,3,1485.26,5,4232.99,livré
VNT000065,2024-07-22,CLT00266,PRD0224,CH01,1,2121.95,20,1697.56,en_cours
VNT000066,2024-08-23,CLT01320,PRD0344,CH06,3,280.68,15,715.73,annulé
VNT000067,2022-05-06,CLT01543,PRD0317,CH05,1,191.78,0,191.78,livré
VNT000068,2023-05-02,CLT06165,PRD0332,CH06,1,115.02,10,103.52,livré
VNT000069,2024-03-29,CLT11358,PRD0123,CH06,3,104.48,10,282.1,annulé
VNT000070,2024-09-03,CLT01343,PRD0385,CH02,1,410.9,10,369.81,livré
VNT000071,2024-08-08,CLT11995,PRD0073,CH02,1,672.94,0,672.94,livré
VNT000072,2022-07-15,CLT04840,PRD0343,CH05,5,226.1,20,904.4,livré
VNT000073,2023-05-12,CLT10818,PRD0231,CH03,1,651.46,10,586.31,livré
VNT000074,2024-03-20,CLT05497,PRD0276,CH03,1,423.87,5,402.68,livré
VNT000075,2024-05-29,CLT02284,PRD0197,CH02,1,491.53,10,442.38,annulé
VNT000076,2023-04-02,CLT06958,PRD0193,CH05,5,1218.68,0,6093.4,livré
VNT000077,2023-02-22,CLT06312,PRD0217,CH02,6,774.51,5,4414.71,livré
VNT000078,2022-01-20,CLT08647,PRD0014,CH02,1,1827.69,0,1827.69,livré
VNT000079,2024-04-19,CLT11120,PRD0374,CH01,4,104.18,20,333.38,livré
VNT000080,2023-08-09,CLT03203,PRD0037,CH01,3,1659.4,5,4729.29,livré
VNT000081,2023-04-25,CLT01845,PRD0082,CH05,1,650.13,0,650.13,livré
VNT000082,2023-07-27,CLT05625,PRD0324,CH05,5,248.5,15,1056.12,livré
VNT000083,2023-11-21,CLT01331,PRD0353,CH02,4,434.77,5,1652.13,livré
VNT000084,2023-12-14,CLT07199,PRD0078,CH01,4,715.71,15,2433.41,livré
VNT000085,2022-10-18,CLT01242,PRD0116,CH02,3,152.01,0,456.03,livré
VNT000086,2022-02-02,CLT11536,PRD0381,CH05,5,684.06,0,3420.3,livré
VNT000087,2023-08-21,CLT06415,PRD0160,CH07,3,1131.61,10,3055.35,livré
VNT000088,2023-11-18,CLT03717,PRD0114,CH05,4,156.34,15,531.56,livré
VNT000089,2024-01-09,CLT10882,PRD0217,CH01,3,774.51,0,2323.53,annulé
VNT000090,2023-09-24,CLT01157,PRD0259,CH05,2,403.86,0,807.72,livré
VNT000091,2022-05-08,CLT05465,PRD0308,CH03,5,223.48,0,1117.4,livré
VNT000092,2022-05-20,CLT07631,PRD0295,CH05,5,89.84,0,449.2,livré
VNT000093,2022-02-26,CLT00647,PRD0196,CH04,2,174.3,0,348.6,livré
VNT000094,2024-08-24,CLT08077,PRD0160,CH02,2,1131.61,0,2263.22,livré
VNT000095,2024-06-19,CLT00634,PRD0223,CH04,2,2053.79,15,3491.44,en_cours
VNT000096,2024-05-05,CLT10494,PRD0102,CH04,2,89.98,0,179.96,livré
VNT000097,2023-09-06,CLT07286,PRD0107,CH05,1,40.58,5,38.55,annulé
VNT000098,2024-11-11,CLT11916,PRD0388,CH05,5,539.21,0,2696.05,en_cours
VNT000099,2022-10-04,CLT09914,PRD0259,CH07,5,403.86,0,2019.3,livré
VNT000100,2024-02-01,CLT09706,PRD0381,CH03,3,684.06,0,2052.18,livré
VNT000101,2024-04-21,CLT00479,PRD0169,CH04,1,264.98,0,264.98,en_cours
VNT000102,2024-07-11,CLT02816,PRD0203,CH04,2,2097.04,15,3564.97,livré
VNT000103,2022-01-16,CLT11106,PRD0361,CH04,3,159.83,15,407.57,livré
VNT000104,2022-01-19,CLT06509,PRD0061,CH06,5,334.0,5,1586.5,en_cours
VNT000105,2023-11-12,CLT00332,PRD0376,CH01,6,473.94,0,2843.64,livré
VNT000106,2022-01-07,CLT10194,PRD0175,CH01,4,670.12,5,2546.46,livré
VNT000107,2024-05-07,CLT06477,PRD0139,CH02,1,89.88,15,76.4,livré
VNT000108,2024-01-10,CLT02129,PRD0005,CH05,6,974.68,20,4678.46,livré
VNT000109,2022-06-10,CLT05462,PRD0135,CH04,2,78.52,0,157.04,livré
VNT000110,2023-05-31,CLT04259,PRD0095,CH06,10,586.37,0,5863.7,livré
VNT000111,2023-10-09,CLT09638,PRD0050,CH05,5,4589.7,10,20653.65,livré
VNT000112,2024-12-26,CLT05342,PRD0046,CH03,3,2859.25,0,8577.75,livré
VNT000113,2022-03-02,CLT01805,PRD0203,CH06,1,2097.04,5,1992.19,livré
VNT000114,2024-12-31,CLT09653,PRD0133,CH08,2,117.33,10,211.19,livré
VNT000115,2024-10-08,CLT01723,PRD0356,CH02,4,477.93,5,1816.13,livré
VNT000116,2022-10-09,CLT08505,PRD0283,CH07,2,341.66,5,649.15,livré
VNT000117,2023-10-02,CLT03518,PRD0050,CH02,3,4589.7,10,12392.19,livré
VNT000118,2022-11-02,CLT02492,PRD0179,CH01,3,159.7,10,431.19,livré
VNT000119,2022-03-04,CLT11326,PRD0265,CH03,3,406.6,5,1158.81,livré
VNT000120,2022-12-21,CLT08885,PRD0245,CH07,1,1625.95,0,1625.95,livré
VNT000121,2024-06-27,CLT09611,PRD0300,CH07,2,140.14,0,280.28,livré
VNT000122,2024-02-24,CLT07135,PRD0037,CH01,1,1659.4,0,1659.4,livré
VNT000123,2024-12-31,CLT08646,PRD0274,CH06,3,380.01,5,1083.03,livré
VNT000124,2024-05-15,CLT03012,PRD0201,CH08,3,2198.14,0,6594.42,livré
VNT000125,2023-04-30,CLT02294,PRD0083,CH07,5,557.95,15,2371.29,livré
VNT000126,2023-10-01,CLT04708,PRD0156,CH04,1,736.14,5,699.33,livré
VNT000127,2024-01-24,CLT05193,PRD0155,CH08,2,415.1,0,830.2,annulé
VNT000128,2022-01-22,CLT01365,PRD0226,CH03,6,2867.58,5,16345.21,livré
VNT000129,2024-01-15,CLT10396,PRD0037,CH08,2,1659.4,0,3318.8,livré
VNT000130,2023-03-24,CLT01179,PRD0352,CH01,4,644.18,0,2576.72,livré
VNT000131,2024-02-12,CLT08629,PRD0057,CH06,4,746.9,0,2987.6,livré
VNT000132,2022-08-11,CLT05891,PRD0202,CH01,1,1021.93,0,1021.93,livré
VNT000133,2024-11-15,CLT07641,PRD0195,CH06,2,705.86,0,1411.72,en_cours
VNT000134,2024-05-20,CLT00929,PRD0329,CH03,10,298.37,0,2983.7,livré
VNT000135,2023-08-26,CLT11698,PRD0148,CH04,3,190.88,0,572.64,en_cours
VNT000136,2023-06-20,CLT07902,PRD0072,CH06,5,438.05,5,2080.74,livré
VNT000137,2023-08-05,CLT06927,PRD0222,CH06,2,1829.56,0,3659.12,livré
VNT000138,2023-10-09,CLT04037,PRD0080,CH06,1,507.06,0,507.06,livré
VNT000139,2023-03-25,CLT10189,PRD0056,CH02,2,124.74,5,237.01,livré
VNT000140,2024-01-22,CLT03664,PRD0131,CH06,1,126.93,20,101.54,livré
VNT000141,2024-09-27,CLT01449,PRD0258,CH01,2,358.46,0,716.92,livré
VNT000142,2022-10-06,CLT05645,PRD0222,CH06,3,1829.56,0,5488.68,livré
VNT000143,2024-11-29,CLT07475,PRD0209,CH01,1,520.91,0,520.91,livré
VNT000144,2022-05-30,CLT05841,PRD0324,CH02,1,248.5,0,248.5,livré
VNT000145,2024-05-14,CLT08171,PRD0336,CH08,1,232.74,5,221.1,livré
VNT000146,2023-08-07,CLT07100,PRD0076,CH07,2,161.66,15,274.82,livré
VNT000147,2022-10-04,CLT03002,PRD0256,CH04,1,291.91,0,291.91,livré
VNT000148,2024-10-19,CLT09573,PRD0274,CH04,1,380.01,0,380.01,livré
VNT000149,2023-02-19,CLT04090,PRD0346,CH06,2,282.1,15,479.57,livré
VNT000150,2022-03-03,CLT09275,PRD0221,CH10,1,95.6,0,95.6,livré
VNT000151,2024-07-27,CLT11225,PRD0379,CH04,4,517.7,5,1967.26,en_cours
VNT000152,2024-01-16,CLT04477,PRD0169,CH10,3,264.98,0,794.94,livré
VNT000153,2024-07-18,CLT10050,PRD0233,CH06,1,2728.39,5,2591.97,livré
VNT000154,2023-06-01,CLT02334,PRD0195,CH07,1,705.86,15,599.98,annulé
VNT000155,2023-03-29,CLT02216,PRD0307,CH07,1,147.05,0,147.05,livré
VNT000156,2022-05-01,CLT07958,PRD0098,CH04,2,669.91,0,1339.82,livré
VNT000157,2023-03-30,CLT05527,PRD0348,CH02,2,218.8,10,393.84,livré
VNT000158,2023-03-31,CLT07680,PRD0132,CH05,3,141.07,0,423.21,livré
VNT000159,2022-07-24,CLT07324,PRD0364,CH05,1,230.43,0,230.43,livré
VNT000160,2022-04-24,CLT08051,PRD0027,CH06,2,2073.52,20,3317.63,livré
VNT000161,2023-04-30,CLT08671,PRD0249,CH06,1,1219.21,0,1219.21,livré
VNT000162,2022-02-20,CLT10697,PRD0067,CH06,3,744.69,5,2122.37,livré
VNT000163,2022-04-09,CLT06407,PRD0133,CH06,2,117.33,0,234.66,livré
VNT000164,2022-06-24,CLT02638,PRD0227,CH08,1,2584.71,10,2326.24,livré
VNT000165,2022-09-09,CLT06721,PRD0126,CH01,2,180.67,10,325.21,livré
VNT000166,2023-09-06,CLT02825,PRD0192,CH01,2,1136.57,10,2045.83,livré
VNT000167,2022-05-31,CLT08683,PRD0370,CH09,5,161.54,0,807.7,livré
VNT000168,2023-03-19,CLT00173,PRD0143,CH02,2,56.9,0,113.8,livré
VNT000169,2024-07-21,CLT03571,PRD0058,CH06,1,571.74,15,485.98,livré
VNT000170,2024-09-12,CLT02758,PRD0348,CH05,8,218.8,10,1575.36,livré
VNT000171,2024-08-21,CLT08924,PRD0349,CH02,1,105.97,0,105.97,livré
VNT000172,2024-02-22,CLT04470,PRD0013,CH04,1,1290.39,0,1290.39,livré
VNT000173,2024-01-28,CLT11810,PRD0293,CH02,2,484.68,0,969.36,livré
VNT000174,2023-06-24,CLT10009,PRD0325,CH05,2,257.91,15,438.45,livré
VNT000175,2022-03-15,CLT11498,PRD0139,CH04,3,89.88,15,229.19,livré
VNT000176,2023-12-08,CLT10416,PRD0152,CH04,2,851.34,5,1617.55,livré
VNT000177,2022-05-14,CLT02271,PRD0269,CH05,2,346.39,10,623.5,annulé
VNT000178,2022-10-20,CLT08989,PRD0096,CH08,4,274.28,0,1097.12,livré
VNT000179,2023-06-11,CLT03516,PRD0104,CH05,2,130.27,0,260.54,livré
VNT000180,2023-03-09,CLT10094,PRD0127,CH04,4,189.87,0,759.48,livré
VNT000181,2023-07-15,CLT04622,PRD0175,CH05,3,670.12,0,2010.36,livré
VNT000182,2023-03-06,CLT08601,PRD0049,CH05,4,3581.99,0,14327.96,livré
VNT000183,2022-07-22,CLT11308,PRD0054,CH05,4,237.69,0,950.76,livré
VNT000184,2024-07-14,CLT11003,PRD0144,CH04,2,125.61,15,213.54,livré
VNT000185,2024-02-13,CLT03991,PRD0183,CH04,2,994.73,5,1889.99,en_cours
VNT000186,2022-12-05,CLT02726,PRD0262,CH02,1,287.56,0,287.56,livré
VNT000187,2024-08-24,CLT10338,PRD0298,CH04,2,364.88,0,729.76,livré
VNT000188,2024-11-01,CLT02955,PRD0297,CH04,1,421.21,10,379.09,livré
VNT000189,2024-06-04,CLT02293,PRD0109,CH05,3,99.62,10,268.97,livré
VNT000190,2024-03-03,CLT06927,PRD0119,CH05,1,72.7,0,72.7,en_cours
VNT000191,2024-02-09,CLT05644,PRD0154,CH01,1,256.92,10,231.23,livré
VNT000192,2022-12-26,CLT01491,PRD0376,CH05,2,473.94,5,900.49,livré
VNT000193,2022-08-01,CLT07315,PRD0097,CH05,1,643.76,0,643.76,livré
VNT000194,2022-11-02,CLT09453,PRD0132,CH05,6,141.07,5,804.1,livré
VNT000195,2023-11-10,CLT01936,PRD0273,CH06,7,446.04,0,3122.28,livré
VNT000196,2023-03-12,CLT02968,PRD0333,CH01,3,128.39,5,365.91,livré
VNT000197,2022-01-27,CLT11501,PRD0380,CH05,2,357.33,0,714.66,en_cours
VNT000198,2022-08-18,CLT02529,PRD0032,CH05,4,1627.25,0,6509.0,livré
VNT000199,2024-08-29,CLT11795,PRD0305,CH06,1,269.94,5,256.44,livré
VNT000200,2022-10-26,CLT05233,PRD0242,CH04,1,1017.18,0,1017.18,livré
VNT000201,2023-09-21,CLT05543,PRD0283,CH07,2,341.66,0,683.32,livré
VNT000202,2022-01-15,CLT05670,PRD0148,CH06,1,190.88,0,190.88,livré
VNT000203,2023-10-20,CLT08300,PRD0052,CH03,1,257.09,5,244.24,annulé
VNT000204,2022-11-19,CLT05973,PRD0351,CH01,3,75.72,0,227.16,livré
VNT000205,2022-11-02,CLT07155,PRD0067,CH05,1,744.69,5,707.46,livré
VNT000206,2022-08-08,CLT06753,PRD0247,CH05,1,127.65,0,127.65,livré
VNT000207,2023-09-02,CLT02300,PRD0232,CH03,3,2736.62,0,8209.86,livré
VNT000208,2024-02-26,CLT10832,PRD0361,CH04,3,159.83,5,455.52,en_cours
VNT000209,2024-11-29,CLT01631,PRD0325,CH06,3,257.91,0,773.73,livré
VNT000210,2024-02-29,CLT10607,PRD0219,CH05,4,511.98,0,2047.92,livré
VNT000211,2024-06-27,CLT06157,PRD0013,CH09,1,1290.39,15,1096.83,en_cours
VNT000212,2023-05-30,CLT00876,PRD0282,CH05,2,94.89,10,170.8,en_cours
VNT000213,2024-02-21,CLT11069,PRD0178,CH02,3,542.4,10,1464.48,livré
VNT000214,2024-11-22,CLT00971,PRD0097,CH05,1,643.76,5,611.57,livré
VNT000215,2022-07-31,CLT03921,PRD0234,CH01,1,727.65,15,618.5,livré
VNT000216,2022-05-03,CLT03066,PRD0195,CH05,3,705.86,15,1799.94,livré
VNT000217,2022-04-23,CLT07453,PRD0162,CH04,4,1388.92,0,5555.68,livré
VNT000218,2022-06-01,CLT02375,PRD0083,CH04,1,557.95,0,557.95,livré
VNT000219,2022-05-24,CLT04986,PRD0257,CH05,8,417.64,0,3341.12,livré
VNT000220,2024-06-01,CLT06535,PRD0104,CH05,7,130.27,0,911.89,livré
VNT000221,2023-03-10,CLT06954,PRD0124,CH04,2,121.51,5,230.87,annulé
VNT000222,2024-06-10,CLT05189,PRD0175,CH04,1,670.12,0,670.12,livré
VNT000223,2024-10-29,CLT09047,PRD0058,CH06,1,571.74,0,571.74,livré
VNT000224,2023-01-14,CLT07602,PRD0195,CH06,3,705.86,5,2011.7,livré
VNT000225,2023-08-16,CLT08001,PRD0030,CH04,2,2042.84,0,4085.68,livré
VNT000226,2023-07-25,CLT06670,PRD0392,CH01,1,503.3,15,427.81,livré
VNT000227,2022-06-28,CLT10846,PRD0345,CH02,3,180.47,0,541.41,en_cours
VNT000228,2024-11-28,CLT02379,PRD0076,CH01,3,161.66,0,484.98,livré
VNT000229,2022-05-30,CLT08367,PRD0003,CH02,1,502.43,0,502.43,livré
VNT000230,2024-09-30,CLT09254,PRD0223,CH07,2,2053.79,15,3491.44,livré
VNT000231,2024-06-01,CLT05651,PRD0035,CH04,2,3901.73,0,7803.46,livré
VNT000232,2022-12-21,CLT00413,PRD0125,CH04,3,45.02,5,128.31,livré
VNT000233,2024-06-25,CLT08922,PRD0122,CH05,4,183.83,0,735.32,livré
VNT000234,2023-01-29,CLT09019,PRD0321,CH02,2,276.36,20,442.18,annulé
VNT000235,2024-05-29,CLT01686,PRD0151,CH10,4,777.21,15,2642.51,livré
VNT000236,2024-11-23,CLT01358,PRD0326,CH05,3,154.68,15,394.43,livré
VNT000237,2022-12-14,CLT02609,PRD0380,CH03,2,357.33,0,714.66,livré
VNT000238,2024-07-08,CLT05009,PRD0100,CH03,2,702.56,5,1334.86,livré
VNT000239,2023-09-14,CLT11884,PRD0127,CH01,1,189.87,20,151.9,livré
VNT000240,2024-12-02,CLT08306,PRD0141,CH07,2,185.82,0,371.64,livré
VNT000241,2023-01-16,CLT07402,PRD0310,CH07,2,264.14,15,449.04,livré
VNT000242,2023-06-07,CLT09682,PRD0078,CH05,2,715.71,5,1359.85,livré
VNT000243,2024-02-24,CLT10092,PRD0323,CH02,2,197.27,20,315.63,en_cours
VNT000244,2023-02-16,CLT01170,PRD0308,CH04,5,223.48,0,1117.4,livré
VNT000245,2023-10-04,CLT01816,PRD0214,CH01,4,2664.81,0,10659.24,livré
VNT000246,2024-03-20,CLT11150,PRD0225,CH01,1,2512.74,0,2512.74,livré
VNT000247,2023-07-18,CLT01686,PRD0220,CH04,4,2847.12,10,10249.63,livré
VNT000248,2022-11-29,CLT05625,PRD0153,CH05,4,114.66,0,458.64,livré
VNT000249,2023-12-10,CLT10479,PRD0225,CH06,4,2512.74,10,9045.86,livré
VNT000250,2022-09-30,CLT10323,PRD0332,CH05,1,115.02,15,97.77,livré
VNT000251,2023-02-12,CLT10026,PRD0086,CH09,3,148.14,10,399.98,livré
VNT000252,2024-02-20,CLT11097,PRD0294,CH05,8,101.65,0,813.2,livré
VNT000253,2022-06-25,CLT00419,PRD0062,CH04,1,374.61,15,318.42,livré
VNT000254,2023-12-11,CLT01551,PRD0042,CH09,1,3962.49,0,3962.49,livré
VNT000255,2022-04-25,CLT01687,PRD0279,CH05,3,104.83,10,283.04,livré
VNT000256,2023-12-30,CLT10722,PRD0016,CH04,3,3871.15,10,10452.11,livré
VNT000257,2022-08-03,CLT03044,PRD0328,CH02,2,75.84,0,151.68,livré
VNT000258,2022-03-12,CLT11804,PRD0110,CH07,5,35.74,0,178.7,livré
VNT000259,2023-04-25,CLT09977,PRD0309,CH04,1,147.17,15,125.09,livré
VNT000260,2022-08-22,CLT09586,PRD0360,CH01,3,710.62,10,1918.67,livré
VNT000261,2022-12-12,CLT08640,PRD0232,CH07,1,2736.62,0,2736.62,livré
VNT000262,2022-08-14,CLT10975,PRD0004,CH04,1,310.6,5,295.07,livré
VNT000263,2022-07-28,CLT07889,PRD0095,CH04,1,586.37,15,498.41,livré
VNT000264,2023-11-08,CLT10041,PRD0107,CH05,5,40.58,0,202.9,livré
VNT000265,2022-04-18,CLT03051,PRD0006,CH05,2,486.86,0,973.72,livré
VNT000266,2022-08-11,CLT00233,PRD0335,CH06,2,205.75,5,390.92,livré
VNT000267,2023-10-28,CLT00934,PRD0335,CH08,2,205.75,10,370.35,livré
VNT000268,2023-12-10,CLT02148,PRD0182,CH05,5,1306.97,0,6534.85,livré
VNT000269,2023-03-08,CLT09981,PRD0088,CH02,4,144.17,15,490.18,livré
VNT000270,2022-10-16,CLT03263,PRD0004,CH04,3,310.6,15,792.03,livré
VNT000271,2024-03-29,CLT00272,PRD0112,CH05,1,177.52,0,177.52,livré
VNT000272,2022-01-31,CLT06924,PRD0376,CH07,4,473.94,5,1800.97,livré
VNT000273,2023-09-03,CLT10732,PRD0135,CH04,3,78.52,0,235.56,livré
VNT000274,2022-07-28,CLT11813,PRD0263,CH02,1,357.2,10,321.48,en_cours
VNT000275,2022-01-28,CLT11816,PRD0285,CH06,4,179.03,0,716.12,livré
VNT000276,2023-09-17,CLT07873,PRD0271,CH04,9,489.85,0,4408.65,livré
VNT000277,2023-05-12,CLT03133,PRD0374,CH04,4,104.18,5,395.88,livré
VNT000278,2022-05-23,CLT00646,PRD0400,CH05,2,290.67,15,494.14,livré
VNT000279,2024-03-27,CLT03241,PRD0380,CH07,1,357.33,0,357.33,livré
VNT000280,2024-05-13,CLT05345,PRD0013,CH01,1,1290.39,0,1290.39,livré
VNT000281,2022-08-19,CLT06129,PRD0050,CH04,4,4589.7,10,16522.92,livré
VNT000282,2023-08-13,CLT09116,PRD0387,CH10,2,730.97,15,1242.65,livré
VNT000283,2022-12-11,CLT03850,PRD0212,CH04,4,2006.49,0,8025.96,livré
VNT000284,2024-06-05,CLT10653,PRD0065,CH06,1,811.87,0,811.87,livré
VNT000285,2022-09-25,CLT02104,PRD0206,CH08,2,2342.64,5,4451.02,livré
VNT000286,2023-09-12,CLT02131,PRD0095,CH06,1,586.37,10,527.73,livré
VNT000287,2023-01-17,CLT01143,PRD0002,CH05,3,4055.79,10,10950.63,livré
VNT000288,2024-04-25,CLT00186,PRD0295,CH04,2,89.84,10,161.71,livré
VNT000289,2024-02-17,CLT05871,PRD0324,CH03,3,248.5,5,708.23,livré
VNT000290,2022-07-07,CLT08585,PRD0338,CH06,2,108.32,0,216.64,en_cours
VNT000291,2022-10-25,CLT03641,PRD0083,CH06,1,557.95,0,557.95,livré
VNT000292,2023-08-22,CLT03474,PRD0279,CH06,1,104.83,0,104.83,livré
VNT000293,2022-03-18,CLT03774,PRD0392,CH07,3,503.3,0,1509.9,en_cours
VNT000294,2024-02-08,CLT10180,PRD0170,CH01,1,1163.08,0,1163.08,livré
VNT000295,2023-11-24,CLT00029,PRD0298,CH07,2,364.88,0,729.76,livré
VNT000296,2022-11-10,CLT07423,PRD0183,CH01,4,994.73,0,3978.92,livré
VNT000297,2022-06-21,CLT09733,PRD0109,CH05,2,99.62,0,199.24,livré
VNT000298,2023-06-29,CLT10450,PRD0060,CH03,2,397.17,0,794.34,livré
VNT000299,2023-12-19,CLT04024,PRD0004,CH03,2,310.6,0,621.2,en_cours
VNT000300,2022-01-30,CLT06778,PRD0121,CH01,2,197.35,20,315.76,livré
VNT000301,2023-01-17,CLT03758,PRD0396,CH04,2,113.14,0,226.28,livré
VNT000302,2023-06-14,CLT06321,PRD0249,CH05,1,1219.21,15,1036.33,livré
VNT000303,2023-04-19,CLT02397,PRD0005,CH09,2,974.68,0,1949.36,en_cours
VNT000304,2023-05-24,CLT01026,PRD0159,CH01,1,776.22,0,776.22,livré
VNT000305,2023-09-25,CLT09191,PRD0242,CH02,3,1017.18,0,3051.54,livré
VNT000306,2022-07-31,CLT11807,PRD0237,CH05,2,2366.69,15,4023.37,livré
VNT000307,2022-01-25,CLT08777,PRD0145,CH06,3,13.83,5,39.42,livré
VNT000308,2024-04-22,CLT08298,PRD0188,CH05,2,83.26,0,166.52,livré
VNT000309,2022-05-22,CLT05500,PRD0077,CH02,1,824.13,10,741.72,livré
