id_stock,id_produit,depot,quantite_disponible,quantite_reservee,seuil_reappro,date_maj
STK00034,PRD0019,Fès-Logistique,247,46,18,2026-05-03
STK00035,PRD0020,Agadir-Sud,260,12,14,2026-04-27
STK00036,PRD0020,Casablanca-Hub,151,36,21,2026-05-11
STK00037,PRD0020,Rabat-Dépôt,49,7,10,2026-05-14
STK00038,PRD0021,Agadir-Sud,15,43,35,2026-05-11
STK00039,PRD0021,Fès-Logistique,90,18,29,2026-05-10
STK00040,PRD0021,Tanger-Port,32,4,34,2026-04-19
STK00041,PRD0022,Tanger-Port,114,50,19,2026-05-09
STK00042,PRD0022,Agadir-Sud,234,41,27,2026-05-14
STK00043,PRD0023,Fès-Logistique,73,38,40,2026-05-05
STK00044,PRD0023,Agadir-Sud,241,17,33,2026-04-21
STK00045,PRD0024,Fès-Logistique,106,0,32,2026-05-03
STK00046,PRD0024,Tanger-Port,236,9,13,2026-05-07
STK00047,PRD0025,Fès-Logistique,37,41,28,2026-05-09
STK00048,PRD0025,Tanger-Port,69,30,29,2026-05-05
STK00049,PRD0025,Rabat-Dépôt,14,45,35,2026-04-20
STK00050,PRD0026,Fès-Logistique,262,41,18,2026-05-08
STK00051,PRD0027,Marrakech-Entrepôt,272,31,40,2026-04-23
STK00052,PRD0027,Rabat-Dépôt,126,19,21,2026-04-25
STK00053,PRD0028,Fès-Logistique,187,32,37,2026-05-04
STK00054,PRD0028,Agadir-Sud,235,12,13,2026-05-12
STK00055,PRD0028,Rabat-Dépôt,44,5,37,2026-04-19
STK00056,PRD0029,Marrakech-Entrepôt,147,46,29,2026-05-13
STK00057,PRD0030,Marrakech-Entrepôt,287,24,25,2026-04-22
STK00058,PRD0031,Marrakech-Entrepôt,148,19,17,2026-05-07
STK00059,PRD0031,Fès-Logistique,61,13,15,2026-05-08
STK00060,PRD0032,Casablanca-Hub,39,12,23,2026-05-12
STK00061,PRD0032,Marrakech-Entrepôt,256,11,17,2026-04-30
STK00062,PRD0032,Fès-Logistique,120,42,33,2026-05-03
STK00063,PRD0033,Tanger-Port,17,45,19,2026-05-15
STK00064,PRD0034,Casablanca-Hub,149,24,31,2026-04-26
STK00065,PRD0034,Tanger-Port,226,19,11,2026-05-11
STK00066,PRD0035,Rabat-Dépôt,270,2,34,2026-05-10
STK00067,PRD0035,Marrakech-Entrepôt,55,32,25,2026-05-12
STK00068,PRD0036,Tanger-Port,52,50,39,2026-05-13
STK00069,PRD0036,Agadir-Sud,249,38,39,2026-05-05
STK00070,PRD0036,Fès-Logistique,11,34,35,2026-04-20
STK00071,PRD0037,Tanger-Port,163,44,15,2026-05-15
STK00072,PRD0037,Casablanca-Hub,250,28,32,2026-05-11
STK00073,PRD0038,Casablanca-Hub,183,47,39,2026-05-10
STK00074,PRD0039,Fès-Logistique,164,44,10,2026-05-04
STK00075,PRD0040,Agadir-Sud,217,5,37,2026-05-14
STK00076,PRD0040,Rabat-Dépôt,122,11,11,2026-04-22
STK00077,PRD0041,Casablanca-Hub,127,49,15,2026-05-04
STK00078,PRD0041,Fès-Logistique,87,12,22,2026-05-18
STK00079,PRD0042,Agadir-Sud,259,6,30,2026-05-09
STK00080,PRD0043,Agadir-Sud,288,39,39,2026-05-14
STK00081,PRD0043,Tanger-Port,40,6,35,2026-04-20
STK00082,PRD0043,Fès-Logistique,42,13,10,2026-05-09
STK00083,PRD0044,Rabat-Dépôt,198,5,35,2026-04-29
STK00084,PRD0044,Fès-Logistique,207,29,38,2026-05-11
STK00085,PRD0045,Tanger-Port,225,37,40,2026-05-08
STK00086,PRD0046,Tanger-Port,268,4,22,2026-05-14
STK00087,PRD0046,Fès-Logistique,88,25,22,2026-04-22
STK00088,PRD0047,Casablanca-Hub,32,27,35,2026-04-30
STK00089,PRD0047,Marrakech-Entrepôt,279,11,23,2026-05-09
STK00090,PRD0048,Agadir-Sud,21,3,24,2026-05-04
STK00091,PRD0048,Marrakech-Entrepôt,110,10,39,2026-05-04
STK00092,PRD0048,Fès-Logistique,56,8,24,2026-05-18
STK00093,PRD0049,Agadir-Sud,71,5,35,2026-05-16
STK00094,PRD0050,Casablanca-Hub,227,41,40,2026-05-05
STK00095,PRD0050,Tanger-Port,9,38,36,2026-04-19
STK00096,PRD0051,Rabat-Dépôt,112,6,35,2026-04-29
STK00097,PRD0051,Fès-Logistique,219,30,16,2026-04-30
STK00098,PRD0052,Tanger-Port,76,35,36,2026-04-30
STK00099,PRD0052,Agadir-Sud,132,9,23,2026-04-30
STK00100,PRD0053,Tanger-Port,47,28,26,2026-05-12
STK00101,PRD0053,Fès-Logistique,143,0,20,2026-04-25
STK00102,PRD0054,Tanger-Port,57,8,10,2026-05-07
STK00103,PRD0054,Marrakech-Entrepôt,208,6,14,2026-05-10
STK00104,PRD0055,Fès-Logistique,127,30,10,2026-05-09
STK00105,PRD0055,Tanger-Port,54,17,18,2026-05-10
STK00106,PRD0055,Agadir-Sud,257,29,25,2026-05-12
STK00107,PRD0056,Agadir-Sud,187,33,30,2026-04-24
STK00108,PRD0057,Agadir-Sud,284,6,33,2026-05-11
STK00109,PRD0057,Rabat-Dépôt,74,43,21,2026-04-28
STK00110,PRD0057,Fès-Logistique,259,14,16,2026-05-15
STK00111,PRD0058,Tanger-Port,251,46,31,2026-04-30
STK00112,PRD0058,Agadir-Sud,296,13,23,2026-05-08
STK00113,PRD0058,Casablanca-Hub,256,26,38,2026-04-27
STK00114,PRD0059,Rabat-Dépôt,161,4,12,2026-04-24
STK00115,PRD0059,Casablanca-Hub,68,45,35,2026-04-27
STK00116,PRD0060,Casablanca-Hub,300,46,12,2026-05-18
STK00117,PRD0060,Agadir-Sud,69,33,32,2026-04-21
STK00118,PRD0061,Fès-Logistique,249,20,22,2026-04-28
STK00119,PRD0062,Marrakech-Entrepôt,251,27,32,2026-05-18
STK00120,PRD0062,Rabat-Dépôt,239,14,40,2026-05-10
STK00121,PRD0062,Tanger-Port,80,26,34,2026-05-07
STK00122,PRD0063,Rabat-Dépôt,212,49,24,2026-04-30
STK00123,PRD0063,Fès-Logistique,226,13,10,2026-05-03
STK00124,PRD0064,Marrakech-Entrepôt,68,12,20,2026-05-01
STK00125,PRD0065,Rabat-Dépôt,122,18,11,2026-05-01
STK00126,PRD0065,Fès-Logistique,234,4,32,2026-04-22
STK00127,PRD0065,Marrakech-Entrepôt,207,9,34,2026-05-01
STK00128,PRD0066,Fès-Logistique,132,30,26,2026-05-03
STK00129,PRD0066,Agadir-Sud,157,33,23,2026-04-23
STK00130,PRD0066,Tanger-Port,14,41,20,2026-05-10
STK00131,PRD0067,Marrakech-Entrepôt,117,5,32,2026-05-17
STK00132,PRD0067,Casablanca-Hub,11,25,22,2026-05-17
STK00133,PRD0068,Casablanca-Hub,253,9,29,2026-05-06
STK00134,PRD0068,Rabat-Dépôt,155,21,13,2026-05-08
STK00135,PRD0069,Agadir-Sud,181,26,10,2026-04-25
STK00136,PRD0070,Tanger-Port,133,50,26,2026-05-12
STK00137,PRD0070,Casablanca-Hub,7,25,27,2026-04-22
STK00138,PRD0070,Agadir-Sud,36,3,38,2026-05-11
STK00139,PRD0071,Agadir-Sud,186,43,10,2026-04-27
STK00140,PRD0071,Marrakech-Entrepôt,104,41,22,2026-05-08
STK00141,PRD0072,Agadir-Sud,75,27,15,2026-05-13
STK00142,PRD0073,Fès-Logistique,165,1,20,2026-05-18
STK00143,PRD0074,Agadir-Sud,78,11,33,2026-05-17
STK00144,PRD0074,Marrakech-Entrepôt,214,0,15,2026-04-28
STK00145,PRD0074,Rabat-Dépôt,246,35,18,2026-05-09
STK00146,PRD0075,Agadir-Sud,145,3,22,2026-05-15
STK00147,PRD0075,Rabat-Dépôt,264,13,40,2026-05-07
STK00148,PRD0076,Marrakech-Entrepôt,132,45,21,2026-05-13
STK00149,PRD0076,Tanger-Port,268,30,37,2026-05-03
STK00150,PRD0077,Casablanca-Hub,9,30,30,2026-05-02
STK00151,PRD0077,Rabat-Dépôt,33,2,33,2026-05-16
STK00152,PRD0077,Tanger-Port,168,24,19,2026-04-21
STK00153,PRD0078,Agadir-Sud,11,26,24,2026-04-24
STK00154,PRD0079,Casablanca-Hub,268,24,25,2026-05-13
STK00155,PRD0079,Marrakech-Entrepôt,162,43,14,2026-05-06
STK00156,PRD0080,Agadir-Sud,274,31,32,2026-04-29
STK00157,PRD0080,Casablanca-Hub,139,6,20,2026-04-24
STK00158,PRD0081,Agadir-Sud,232,21,25,2026-05-15
STK00159,PRD0081,Marrakech-Entrepôt,212,16,19,2026-05-06
STK00160,PRD0081,Casablanca-Hub,295,24,30,2026-05-04
STK00161,PRD0082,Tanger-Port,93,6,19,2026-05-17
STK00162,PRD0083,Casablanca-Hub,159,10,37,2026-04-26
STK00163,PRD0083,Tanger-Port,141,45,38,2026-05-06
STK00164,PRD0083,Fès-Logistique,31,18,34,2026-05-04
STK00165,PRD0084,Fès-Logistique,187,18,33,2026-04-29
STK00166,PRD0085,Casablanca-Hub,38,45,40,2026-04-29
STK00167,PRD0085,Tanger-Port,218,3,11,2026-04-29
STK00168,PRD0086,Rabat-Dépôt,218,43,20,2026-05-07
STK00169,PRD0086,Agadir-Sud,216,31,38,2026-04-23
STK00170,PRD0086,Tanger-Port,80,26,22,2026-04-25
STK00171,PRD0087,Marrakech-Entrepôt,117,17,38,2026-05-13
STK00172,PRD0088,Agadir-Sud,278,42,12,2026-04-30
STK00173,PRD0088,Casablanca-Hub,154,33,31,2026-05-01
STK00174,PRD0088,Fès-Logistique,21,34,29,2026-04-20
STK00175,PRD0089,Fès-Logistique,52,19,23,2026-04-21
STK00176,PRD0089,Marrakech-Entrepôt,77,42,40,2026-05-12
STK00177,PRD0089,Agadir-Sud,59,44,12,2026-04-27
STK00178,PRD0090,Rabat-Dépôt,185,30,18,2026-05-13
STK00179,PRD0090,Fès-Logistique,46,10,39,2026-04-28
STK00180,PRD0090,Tanger-Port,88,45,26,2026-05-18
STK00181,PRD0091,Fès-Logistique,6,43,18,2026-05-08
STK00182,PRD0091,Agadir-Sud,136,19,39,2026-04-23
STK00183,PRD0092,Casablanca-Hub,198,36,19,2026-05-12
STK00184,PRD0092,Tanger-Port,32,14,38,2026-04-20
STK00185,PRD0093,Casablanca-Hub,276,3,26,2026-05-12
STK00186,PRD0093,Marrakech-Entrepôt,208,8,32,2026-04-28
STK00187,PRD0093,Agadir-Sud,266,48,35,2026-05-11
STK00188,PRD0094,Rabat-Dépôt,246,6,19,2026-05-03
STK00189,PRD0094,Marrakech-Entrepôt,94,29,11,2026-05-05
STK00190,PRD0094,Tanger-Port,300,13,39,2026-05-08
STK00191,PRD0095,Tanger-Port,42,46,15,2026-04-25
STK00192,PRD0096,Casablanca-Hub,298,21,17,2026-05-01
STK00193,PRD0096,Rabat-Dépôt,171,13,30,2026-05-08
STK00194,PRD0096,Marrakech-Entrepôt,68,46,19,2026-05-06
STK00195,PRD0097,Rabat-Dépôt,217,26,22,2026-04-24
STK00196,PRD0098,Rabat-Dépôt,287,20,22,2026-05-04
STK00197,PRD0098,Casablanca-Hub,211,50,34,2026-04-24
STK00198,PRD0098,Fès-Logistique,22,48,29,2026-05-05
STK00199,PRD0099,Agadir-Sud,77,32,27,2026-05-05
STK00200,PRD0100,Marrakech-Entrepôt,35,4,32,2026-04-25
STK00201,PRD0100,Casablanca-Hub,60,40,14,2026-05-07
STK00202,PRD0101,Casablanca-Hub,183,2,14,2026-04-27
STK00203,PRD0102,Casablanca-Hub,189,50,18,2026-05-04
STK00204,PRD0102,Marrakech-Entrepôt,77,29,39,2026-04-27
STK00205,PRD0103,Fès-Logistique,33,3,19,2026-05-15
STK00206,PRD0103,Casablanca-Hub,183,8,37,2026-04-28
STK00207,PRD0103,Marrakech-Entrepôt,266,34,25,2026-05-06
STK00208,PRD0104,Marrakech-Entrepôt,259,32,10,2026-05-01
STK00209,PRD0104,Fès-Logistique,12,45,31,2026-05-08
STK00210,PRD0105,Tanger-Port,79,24,10,2026-04-27
STK00211,PRD0105,Marrakech-Entrepôt,171,45,38,2026-05-02
STK00212,PRD0106,Agadir-Sud,256,23,36,2026-05-18
STK00213,PRD0107,Agadir-Sud,141,6,37,2026-04-22
STK00214,PRD0107,Fès-Logistique,103,31,14,2026-05-05
STK00215,PRD0108,Casablanca-Hub,85,13,12,2026-05-11
STK00216,PRD0108,Agadir-Sud,155,16,27,2026-05-14
STK00217,PRD0108,Rabat-Dépôt,273,25,40,2026-04-30
STK00218,PRD0109,Fès-Logistique,216,32,11,2026-05-05
STK00219,PRD0110,Tanger-Port,162,23,18,2026-05-14
STK00220,PRD0111,Marrakech-Entrepôt,168,11,37,2026-04-28
STK00221,PRD0111,Tanger-Port,210,22,37,2026-04-25
STK00222,PRD0111,Fès-Logistique,250,2,36,2026-05-18
STK00223,PRD0112,Marrakech-Entrepôt,210,8,26,2026-04-26
STK00224,PRD0113,Marrakech-Entrepôt,74,39,30,2026-05-09
STK00225,PRD0113,Agadir-Sud,16,45,39,2026-05-10
STK00226,PRD0113,Rabat-Dépôt,277,5,32,2026-05-16
STK00227,PRD0114,Fès-Logistique,22,45,36,2026-04-26
STK00228,PRD0115,Fès-Logistique,289,46,20,2026-05-07
STK00229,PRD0115,Rabat-Dépôt,222,5,16,2026-05-02
STK00230,PRD0115,Tanger-Port,195,5,20,2026-04-22
STK00231,PRD0116,Casablanca-Hub,3,13,25,2026-05-15
STK00232,PRD0117,Agadir-Sud,75,7,35,2026-04-25
STK00233,PRD0117,Tanger-Port,76,0,29,2026-04-28
STK00234,PRD0118,Tanger-Port,197,2,11,2026-05-02
STK00235,PRD0118,Agadir-Sud,254,29,37,2026-05-05
STK00236,PRD0119,Marrakech-Entrepôt,185,23,35,2026-04-27
STK00237,PRD0119,Fès-Logistique,169,24,14,2026-04-25
STK00238,PRD0119,Casablanca-Hub,96,36,31,2026-05-09
STK00239,PRD0120,Fès-Logistique,158,26,37,2026-05-13
STK00240,PRD0120,Agadir-Sud,32,47,19,2026-04-21
STK00241,PRD0121,Fès-Logistique,191,39,36,2026-04-21
STK00242,PRD0121,Tanger-Port,3,37,20,2026-05-10
STK00243,PRD0122,Tanger-Port,281,1,28,2026-05-18
STK00244,PRD0123,Tanger-Port,31,22,22,2026-05-10
STK00245,PRD0123,Agadir-Sud,9,13,36,2026-05-05
STK00246,PRD0124,Fès-Logistique,207,48,36,2026-04-19
STK00247,PRD0125,Agadir-Sud,174,46,13,2026-04-24
STK00248,PRD0126,Rabat-Dépôt,49,23,37,2026-05-15
STK00249,PRD0127,Casablanca-Hub,260,29,35,2026-05-04
STK00250,PRD0128,Rabat-Dépôt,116,0,37,2026-04-23
STK00251,PRD0129,Marrakech-Entrepôt,210,30,39,2026-04-24
STK00252,PRD0130,Fès-Logistique,215,35,30,2026-05-05
STK00253,PRD0130,Tanger-Port,284,28,33,2026-05-05
STK00254,PRD0131,Fès-Logistique,150,5,11,2026-05-11
STK00255,PRD0132,Casablanca-Hub,3,30,30,2026-05-03
STK00256,PRD0132,Tanger-Port,79,36,29,2026-04-20
STK00257,PRD0132,Agadir-Sud,222,31,15,2026-04-27
STK00258,PRD0133,Marrakech-Entrepôt,269,21,21,2026-05-01
STK00259,PRD0134,Marrakech-Entrepôt,229,2,40,2026-04-19
STK00260,PRD0135,Marrakech-Entrepôt,103,18,35,2026-04-23
STK00261,PRD0136,Casablanca-Hub,25,3,17,2026-05-07
STK00262,PRD0136,Fès-Logistique,175,31,40,2026-05-16
STK00263,PRD0136,Agadir-Sud,20,21,38,2026-05-05
STK00264,PRD0137,Rabat-Dépôt,143,15,30,2026-05-14
STK00265,PRD0137,Agadir-Sud,249,18,25,2026-05-03
STK00266,PRD0137,Marrakech-Entrepôt,191,3,23,2026-05-03
STK00267,PRD0138,Fès-Logistique,285,21,16,2026-05-09
STK00268,PRD0139,Tanger-Port,104,24,39,2026-05-07
STK00269,PRD0139,Rabat-Dépôt,298,41,31,2026-05-18
STK00270,PRD0139,Fès-Logistique,119,16,31,2026-05-16
STK00271,PRD0140,Casablanca-Hub,186,8,21,2026-05-10
STK00272,PRD0141,Marrakech-Entrepôt,204,22,40,2026-04-26
STK00273,PRD0141,Casablanca-Hub,25,27,40,2026-05-03
STK00274,PRD0142,Rabat-Dépôt,13,22,19,2026-05-07
STK00275,PRD0142,Agadir-Sud,31,48,33,2026-05-13
STK00276,PRD0143,Tanger-Port,189,6,18,2026-05-02
STK00277,PRD0143,Fès-Logistique,261,9,22,2026-05-11
STK00278,PRD0144,Rabat-Dépôt,173,26,34,2026-04-25
STK00279,PRD0144,Fès-Logistique,126,39,17,2026-04-30
STK00280,PRD0144,Agadir-Sud,18,3,28,2026-05-10
STK00281,PRD0145,Rabat-Dépôt,37,5,25,2026-04-20
STK00282,PRD0145,Agadir-Sud,242,7,21,2026-05-08
STK00283,PRD0145,Marrakech-Entrepôt,180,45,16,2026-05-17
STK00284,PRD0146,Fès-Logistique,57,45,25,2026-05-18
STK00285,PRD0146,Rabat-Dépôt,148,10,35,2026-04-22
STK00286,PRD0147,Casablanca-Hub,175,8,13,2026-04-29
STK00287,PRD0148,Tanger-Port,121,26,10,2026-05-01
STK00288,PRD0148,Rabat-Dépôt,295,37,25,2026-05-16
STK00289,PRD0148,Fès-Logistique,20,30,16,2026-05-18
STK00290,PRD0149,Tanger-Port,51,14,12,2026-04-19
STK00291,PRD0149,Marrakech-Entrepôt,12,15,30,2026-05-07
STK00292,PRD0149,Agadir-Sud,291,34,23,2026-04-19
STK00293,PRD0150,Tanger-Port,170,38,19,2026-05-07
STK00294,PRD0150,Fès-Logistique,51,9,17,2026-04-22
STK00295,PRD0150,Rabat-Dépôt,4,42,35,2026-04-28
STK00296,PRD0151,Marrakech-Entrepôt,230,19,20,2026-04-28
STK00297,PRD0151,Fès-Logistique,127,29,40,2026-05-16
STK00298,PRD0152,Fès-Logistique,129,9,14,2026-05-12
STK00299,PRD0152,Casablanca-Hub,187,26,16,2026-05-11
STK00300,PRD0152,Agadir-Sud,260,49,21,2026-05-06
STK00301,PRD0153,Fès-Logistique,14,12,13,2026-04-22
STK00302,PRD0154,Casablanca-Hub,41,19,18,2026-04-27
STK00303,PRD0155,Agadir-Sud,98,34,39,2026-05-02
STK00304,PRD0156,Marrakech-Entrepôt,169,17,11,2026-05-09
STK00305,PRD0157,Rabat-Dépôt,244,45,18,2026-05-03
STK00306,PRD0158,Marrakech-Entrepôt,130,27,18,2026-05-18
STK00307,PRD0159,Rabat-Dépôt,186,23,28,2026-05-06
STK00308,PRD0160,Rabat-Dépôt,255,4,38,2026-04-30
STK00309,PRD0161,Rabat-Dépôt,154,17,12,2026-04-26
STK00310,PRD0161,Casablanca-Hub,54,18,31,2026-04-21
STK00311,PRD0161,Fès-Logistique,265,24,15,2026-05-03
STK00312,PRD0162,Agadir-Sud,67,40,26,2026-04-20
STK00313,PRD0162,Fès-Logistique,146,20,16,2026-05-06
STK00314,PRD0162,Rabat-Dépôt,266,7,34,2026-04-22
STK00315,PRD0163,Tanger-Port,63,40,23,2026-04-20
STK00316,PRD0164,Casablanca-Hub,6,44,37,2026-05-03
STK00317,PRD0164,Marrakech-Entrepôt,14,47,28,2026-04-30
STK00318,PRD0165,Tanger-Port,277,46,24,2026-05-08
STK00319,PRD0165,Rabat-Dépôt,21,4,25,2026-04-27
STK00320,PRD0165,Fès-Logistique,74,4,40,2026-05-03
STK00321,PRD0166,Agadir-Sud,272,16,30,2026-04-20
STK00322,PRD0166,Casablanca-Hub,238,48,19,2026-04-27
STK00323,PRD0167,Casablanca-Hub,30,20,18,2026-05-06
STK00324,PRD0167,Agadir-Sud,127,41,12,2026-05-16
STK00325,PRD0168,Rabat-Dépôt,213,19,28,2026-05-05
STK00326,PRD0168,Agadir-Sud,95,14,14,2026-04-20
STK00327,PRD0168,Tanger-Port,226,10,19,2026-04-19
STK00328,PRD0169,Marrakech-Entrepôt,113,32,28,2026-04-28
STK00329,PRD0169,Agadir-Sud,106,19,25,2026-05-07
STK00330,PRD0169,Casablanca-Hub,217,41,18,2026-05-14
STK00331,PRD0170,Tanger-Port,96,9,37,2026-04-22
STK00332,PRD0170,Marrakech-Entrepôt,163,12,33,2026-05-07
STK00333,PRD0170,Rabat-Dépôt,242,30,30,2026-04-27
STK00334,PRD0171,Rabat-Dépôt,210,48,24,2026-04-28
STK00335,PRD0171,Agadir-Sud,32,24,19,2026-05-14
STK00336,PRD0172,Marrakech-Entrepôt,62,18,21,2026-05-02
STK00337,PRD0172,Rabat-Dépôt,146,46,31,2026-04-21
STK00338,PRD0172,Agadir-Sud,207,8,22,2026-05-16
STK00339,PRD0173,Marrakech-Entrepôt,175,14,26,2026-04-21
STK00340,PRD0174,Marrakech-Entrepôt,277,32,20,2026-04-29
STK00341,PRD0174,Agadir-Sud,292,37,13,2026-04-26
STK00342,PRD0175,Agadir-Sud,112,17,25,2026-04-25
STK00343,PRD0175,Tanger-Port,235,43,39,2026-05-07
STK00344,PRD0175,Casablanca-Hub,129,17,33,2026-05-03
STK00345,PRD0176,Tanger-Port,108,45,29,2026-04-28
STK00346,PRD0176,Marrakech-Entrepôt,53,7,34,2026-05-12
STK00347,PRD0176,Agadir-Sud,35,14,38,2026-04-22
STK00348,PRD0177,Tanger-Port,106,9,33,2026-05-04
STK00349,PRD0178,Rabat-Dépôt,53,49,23,2026-05-03
STK00350,PRD0179,Agadir-Sud,231,26,14,2026-04-25
STK00351,PRD0180,Casablanca-Hub,233,13,36,2026-05-13
STK00352,PRD0180,Tanger-Port,51,40,10,2026-05-09
STK00353,PRD0181,Agadir-Sud,264,40,36,2026-05-18
STK00354,PRD0182,Rabat-Dépôt,48,9,23,2026-05-18
STK00355,PRD0183,Rabat-Dépôt,48,0,11,2026-05-18
STK00356,PRD0183,Tanger-Port,227,18,35,2026-05-05
STK00357,PRD0184,Tanger-Port,38,0,21,2026-05-18
STK00358,PRD0184,Agadir-Sud,130,33,19,2026-05-10
STK00359,PRD0184,Fès-Logistique,18,17,35,2026-04-22
STK00360,PRD0185,Tanger-Port,27,3,27,2026-04-22
STK00361,PRD0186,Fès-Logistique,169,33,40,2026-05-18
STK00362,PRD0186,Agadir-Sud,39,20,37,2026-04-21
STK00363,PRD0187,Tanger-Port,127,24,14,2026-05-14
STK00364,PRD0188,Rabat-Dépôt,123,39,16,2026-04-27
STK00365,PRD0189,Marrakech-Entrepôt,293,22,18,2026-04-28
STK00366,PRD0189,Fès-Logistique,290,43,19,2026-04-26
STK00367,PRD0190,Marrakech-Entrepôt,73,0,21,2026-04-22
STK00368,PRD0190,Tanger-Port,153,33,27,2026-05-13
STK00369,PRD0191,Marrakech-Entrepôt,108,9,21,2026-05-05
STK00370,PRD0191,Casablanca-Hub,237,38,12,2026-05-12
STK00371,PRD0191,Fès-Logistique,209,11,31,2026-05-09
STK00372,PRD0192,Tanger-Port,244,10,23,2026-04-20
STK00373,PRD0192,Casablanca-Hub,65,23,15,2026-04-30
STK00374,PRD0192,Fès-Logistique,107,8,11,2026-04-24
STK00375,PRD0193,Tanger-Port,74,28,38,2026-04-29
STK00376,PRD0193,Fès-Logistique,68,21,35,2026-05-01
STK00377,PRD0193,Agadir-Sud,17,31,10,2026-04-23
STK00378,PRD0194,Rabat-Dépôt,19,0,37,2026-05-18
STK00379,PRD0195,Marrakech-Entrepôt,187,33,26,2026-05-03
STK00380,PRD0195,Casablanca-Hub,82,8,14,2026-05-13
STK00381,PRD0195,Fès-Logistique,245,8,31,2026-04-24
STK00382,PRD0196,Tanger-Port,114,4,25,2026-05-09
STK00383,PRD0196,Marrakech-Entrepôt,263,21,26,2026-05-13
STK00384,PRD0197,Tanger-Port,105,17,11,2026-05-18
STK00385,PRD0197,Fès-Logistique,179,14,27,2026-04-19
STK00386,PRD0198,Fès-Logistique,224,29,39,2026-05-16
STK00387,PRD0198,Agadir-Sud,6,43,16,2026-05-13
STK00388,PRD0199,Agadir-Sud,226,36,36,2026-04-29
STK00389,PRD0199,Rabat-Dépôt,207,30,36,2026-05-15
STK00390,PRD0200,Tanger-Port,20,12,23,2026-05-01
STK00391,PRD0201,Casablanca-Hub,295,36,18,2026-05-18
STK00392,PRD0201,Tanger-Port,206,47,21,2026-05-16
STK00393,PRD0202,Casablanca-Hub,95,12,20,2026-05-18
STK00394,PRD0203,Tanger-Port,89,12,30,2026-05-16
STK00395,PRD0203,Rabat-Dépôt,139,39,33,2026-04-23
STK00396,PRD0204,Casablanca-Hub,112,19,11,2026-05-16
STK00397,PRD0204,Tanger-Port,222,9,22,2026-05-15
STK00398,PRD0205,Tanger-Port,188,43,17,2026-05-15
STK00399,PRD0206,Marrakech-Entrepôt,37,17,27,2026-05-09
STK00400,PRD0206,Agadir-Sud,242,50,25,2026-04-28
STK00401,PRD0207,Agadir-Sud,173,36,33,2026-04-28
STK00402,PRD0207,Marrakech-Entrepôt,289,17,13,2026-04-28
STK00403,PRD0208,Tanger-Port,263,48,33,2026-05-17
STK00404,PRD0208,Rabat-Dépôt,2,34,28,2026-05-15
STK00405,PRD0208,Fès-Logistique,269,33,39,2026-05-09
STK00406,PRD0209,Agadir-Sud,85,1,24,2026-04-19
STK00407,PRD0209,Casablanca-Hub,199,18,19,2026-05-13
STK00408,PRD0209,Rabat-Dépôt,269,48,37,2026-04-26
STK00409,PRD0210,Fès-Logistique,181,22,40,2026-05-07
STK00410,PRD0211,Marrakech-Entrepôt,117,38,40,2026-05-12
