id_retour,id_vente,id_client,id_produit,date_retour,motif,quantite_retournee,montant_rembourse,statut_retour
RET00095,VNT007857,CLT11915,PRD0361,2023-07-27,Arrivé endommagé,1,223.01,remboursé
RET00096,VNT006023,CLT03371,PRD0329,2022-11-14,Ne correspond pas à la description,1,654.52,remboursé
RET00097,VNT041142,CLT00519,PRD0037,2022-12-13,Ne correspond pas à la description,3,4397.17,remboursé
RET00098,VNT033068,CLT05175,PRD0371,2023-01-02,Mauvaise taille,3,823.06,remboursé
RET00099,VNT004721,CLT06476,PRD0302,2022-11-03,Ne correspond pas à la description,6,1275.29,remboursé
RET00100,VNT054749,CLT07669,PRD0341,2022-07-06,Ne correspond pas à la description,1,70.59,remboursé
RET00101,VNT007905,CLT07765,PRD0352,2024-03-13,Produit défectueux,3,1628.95,en_traitement
RET00102,VNT036555,CLT03486,PRD0012,2022-06-11,Doublon de commande,1,9032.6,remboursé
RET00103,VNT014368,CLT05027,PRD0241,2024-09-23,Changement d'avis,1,1532.7,remboursé
RET00104,VNT000845,CLT02759,PRD0301,2022-07-30,Délai de livraison dépassé,1,163.3,en_traitement
RET00105,VNT039964,CLT06964,PRD0359,2024-05-12,Doublon de commande,2,815.87,remboursé
RET00106,VNT009417,CLT07703,PRD0275,2022-09-14,Délai de livraison dépassé,1,70.57,remboursé
RET00107,VNT034280,CLT08934,PRD0145,2023-12-11,Arrivé endommagé,2,19.89,en_traitement
RET00108,VNT054732,CLT00805,PRD0275,2023-07-30,Ne correspond pas à la description,1,81.66,remboursé
RET00109,VNT049465,CLT10608,PRD0091,2022-04-07,Produit défectueux,1,425.25,remboursé
RET00110,VNT054913,CLT00302,PRD0097,2024-03-22,Ne correspond pas à la description,1,484.95,remboursé
RET00111,VNT002920,CLT01586,PRD0048,2022-10-03,Produit défectueux,1,5359.44,remboursé
RET00112,VNT021330,CLT09571,PRD0001,2024-06-09,Ne correspond pas à la description,1,16496.86,remboursé
RET00113,VNT015170,CLT07806,PRD0396,2022-03-15,Ne correspond pas à la description,1,88.18,remboursé
RET00114,VNT012095,CLT02259,PRD0019,2024-08-06,Qualité insuffisante,1,2154.3,remboursé
RET00115,VNT035287,CLT03144,PRD0258,2023-07-31,Mauvaise taille,1,928.24,en_traitement
RET00116,VNT006727,CLT10817,PRD0378,2023-03-31,Produit défectueux,1,2095.34,refusé
RET00117,VNT009524,CLT03878,PRD0119,2024-08-06,Qualité insuffisante,4,283.03,remboursé
RET00118,VNT009684,CLT02082,PRD0009,2023-09-11,Ne correspond pas à la description,2,6736.22,refusé
RET00119,VNT007920,CLT07726,PRD0193,2022-02-16,Arrivé endommagé,1,1105.4,remboursé
RET00120,VNT028742,CLT11016,PRD0266,2023-09-12,Ne correspond pas à la description,1,60.34,refusé
RET00121,VNT015693,CLT05357,PRD0332,2022-07-14,Arrivé endommagé,1,81.27,remboursé
RET00122,VNT039027,CLT07821,PRD0356,2022-03-13,Mauvaise taille,1,310.5,remboursé
RET00123,VNT002983,CLT09313,PRD0342,2024-12-05,Ne correspond pas à la description,4,457.59,refusé
RET00124,VNT029560,CLT09931,PRD0291,2024-11-14,Ne correspond pas à la description,5,1553.87,remboursé
RET00125,VNT007510,CLT11805,PRD0177,2023-03-16,Arrivé endommagé,1,1565.78,refusé
RET00126,VNT051384,CLT06197,PRD0173,2022-04-01,Mauvaise taille,1,295.26,remboursé
RET00127,VNT027012,CLT06804,PRD0033,2024-05-30,Produit défectueux,4,5178.88,remboursé
RET00128,VNT030493,CLT04804,PRD0138,2024-01-23,Délai de livraison dépassé,1,143.65,remboursé
RET00129,VNT037748,CLT09300,PRD0271,2023-08-02,Ne correspond pas à la description,1,382.95,refusé
RET00130,VNT008493,CLT01932,PRD0342,2024-03-17,Changement d'avis,6,941.96,en_traitement
RET00131,VNT010274,CLT05593,PRD0377,2023-08-05,Arrivé endommagé,1,192.84,remboursé
RET00132,VNT010370,CLT06242,PRD0217,2024-03-19,Ne correspond pas à la description,1,546.68,remboursé
RET00133,VNT034576,CLT02872,PRD0089,2022-05-12,Produit défectueux,4,2248.17,remboursé
RET00134,VNT000509,CLT07907,PRD0180,2024-10-17,Arrivé endommagé,1,295.54,remboursé
RET00135,VNT045397,CLT10915,PRD0051,2025-01-15,Ne correspond pas à la description,1,729.03,en_traitement
RET00136,VNT036583,CLT09649,PRD0125,2023-11-19,Produit défectueux,1,35.38,remboursé
RET00137,VNT004414,CLT03578,PRD0361,2024-08-30,Doublon de commande,1,137.11,en_traitement
RET00138,VNT038157,CLT09087,PRD0046,2022-09-18,Mauvaise taille,1,4762.98,remboursé
RET00139,VNT018440,CLT04925,PRD0276,2022-05-07,Mauvaise taille,2,1055.15,remboursé
RET00140,VNT041666,CLT07724,PRD0070,2022-09-06,Ne correspond pas à la description,4,4096.86,remboursé
RET00141,VNT022884,CLT07540,PRD0182,2022-01-31,Doublon de commande,1,2240.2,remboursé
RET00142,VNT040655,CLT11233,PRD0199,2023-09-25,Produit défectueux,2,1333.6,remboursé
RET00143,VNT014687,CLT09785,PRD0177,2024-03-28,Mauvaise taille,1,1512.22,remboursé
RET00144,VNT039758,CLT11566,PRD0375,2024-04-09,Produit défectueux,2,404.67,remboursé
RET00145,VNT018250,CLT02420,PRD0094,2023-09-18,Produit défectueux,2,1605.26,en_traitement
RET00146,VNT030599,CLT06029,PRD0349,2023-04-12,Mauvaise taille,1,71.75,remboursé
RET00147,VNT003339,CLT11848,PRD0172,2023-04-29,Arrivé endommagé,1,408.71,remboursé
RET00148,VNT015974,CLT05584,PRD0071,2022-09-25,Ne correspond pas à la description,1,2274.49,remboursé
RET00149,VNT046910,CLT05102,PRD0081,2024-02-17,Arrivé endommagé,1,649.52,remboursé
RET00150,VNT047911,CLT04559,PRD0295,2023-07-23,Mauvaise taille,1,158.03,remboursé
RET00151,VNT007056,CLT08067,PRD0350,2022-03-02,Produit défectueux,1,911.38,refusé
RET00152,VNT054425,CLT02903,PRD0039,2022-02-14,Mauvaise taille,1,3678.31,remboursé
RET00153,VNT022177,CLT07704,PRD0297,2022-03-23,Mauvaise taille,2,708.1,refusé
RET00154,VNT035123,CLT01235,PRD0400,2022-04-16,Ne correspond pas à la description,1,426.8,remboursé
RET00155,VNT025761,CLT10442,PRD0223,2022-10-16,Mauvaise taille,1,3789.35,remboursé
RET00156,VNT024930,CLT08123,PRD0281,2023-09-13,Arrivé endommagé,1,427.47,remboursé
RET00157,VNT054224,CLT02833,PRD0271,2022-08-20,Qualité insuffisante,2,1235.27,remboursé
RET00158,VNT030208,CLT04122,PRD0145,2024-11-22,Produit défectueux,2,19.58,refusé
RET00159,VNT016946,CLT08423,PRD0287,2024-07-13,Mauvaise taille,4,244.35,remboursé
RET00160,VNT015663,CLT10505,PRD0348,2022-07-21,Produit défectueux,1,348.21,en_traitement
RET00161,VNT006418,CLT05721,PRD0015,2024-12-12,Doublon de commande,4,6679.25,refusé
RET00162,VNT047432,CLT04396,PRD0088,2023-05-20,Produit défectueux,2,209.01,remboursé
RET00163,VNT047103,CLT09462,PRD0160,2023-01-23,Doublon de commande,1,3896.27,refusé
RET00164,VNT050576,CLT02900,PRD0364,2025-01-11,Ne correspond pas à la description,3,473.14,remboursé
RET00165,VNT022877,CLT10507,PRD0288,2023-01-11,Arrivé endommagé,2,928.27,remboursé
RET00166,VNT023560,CLT06676,PRD0026,2024-12-01,Changement d'avis,1,965.31,refusé
RET00167,VNT049224,CLT04348,PRD0043,2024-11-12,Ne correspond pas à la description,5,25678.15,en_traitement
RET00168,VNT030922,CLT10060,PRD0362,2024-08-26,Mauvaise taille,3,388.02,remboursé
RET00169,VNT033342,CLT03215,PRD0053,2022-03-21,Qualité insuffisante,2,856.01,remboursé
RET00170,VNT036915,CLT06252,PRD0174,2024-12-16,Arrivé endommagé,2,1747.9,refusé
RET00171,VNT030998,CLT04277,PRD0203,2024-01-21,Ne correspond pas à la description,1,5252.81,remboursé
RET00172,VNT010174,CLT01167,PRD0369,2022-09-09,Mauvaise taille,1,234.53,refusé
RET00173,VNT013451,CLT11842,PRD0183,2022-02-02,Arrivé endommagé,1,1604.15,remboursé
RET00174,VNT005603,CLT03210,PRD0285,2023-02-21,Produit défectueux,1,142.19,remboursé
RET00175,VNT015031,CLT08892,PRD0183,2023-06-07,Arrivé endommagé,1,572.17,remboursé
RET00176,VNT022918,CLT02110,PRD0378,2024-11-20,Changement d'avis,1,1406.83,remboursé
RET00177,VNT010765,CLT07013,PRD0090,2024-10-15,Produit défectueux,1,2958.45,remboursé
RET00178,VNT052551,CLT04793,PRD0210,2024-02-16,Ne correspond pas à la description,1,163.17,refusé
RET00179,VNT040585,CLT03513,PRD0112,2022-06-30,Changement d'avis,1,673.52,remboursé
RET00180,VNT033793,CLT09046,PRD0306,2024-01-20,Mauvaise taille,1,250.75,remboursé
RET00181,VNT050694,CLT11372,PRD0187,2024-11-18,Mauvaise taille,1,1943.99,remboursé
RET00182,VNT044420,CLT03130,PRD0248,2022-08-27,Qualité insuffisante,2,624.47,remboursé
RET00183,VNT040872,CLT04285,PRD0221,2022-09-21,Changement d'avis,2,179.85,en_traitement
RET00184,VNT025302,CLT05217,PRD0228,2024-06-07,Arrivé endommagé,3,1323.49,en_traitement
RET00185,VNT017454,CLT00914,PRD0243,2024-10-03,Ne correspond pas à la description,1,2590.25,remboursé
RET00186,VNT015770,CLT06268,PRD0206,2023-09-13,Doublon de commande,5,11374.83,remboursé
RET00187,VNT035697,CLT11009,PRD0317,2023-09-27,Produit défectueux,1,169.33,en_traitement
RET00188,VNT040911,CLT11847,PRD0287,2023-04-24,Arrivé endommagé,3,333.97,remboursé
RET00189,VNT014656,CLT04054,PRD0038,2024-10-31,Changement d'avis,2,3751.66,refusé
RET00190,VNT053063,CLT05955,PRD0365,2024-09-12,Qualité insuffisante,4,1908.66,remboursé
RET00191,VNT050064,CLT04754,PRD0118,2022-08-30,Arrivé endommagé,2,433.89,en_traitement
RET00192,VNT013594,CLT08704,PRD0141,2023-10-13,Changement d'avis,1,158.63,en_traitement
RET00193,VNT004944,CLT07612,PRD0079,2024-05-16,Ne correspond pas à la description,1,378.77,remboursé
RET00194,VNT043136,CLT02286,PRD0311,2024-05-07,Ne correspond pas à la description,3,356.2,remboursé
RET00195,VNT054844,CLT03748,PRD0005,2024-08-11,Mauvaise taille,1,700.18,remboursé
RET00196,VNT052503,CLT03287,PRD0372,2024-01-23,Changement d'avis,1,684.15,en_traitement
RET00197,VNT025261,CLT02958,PRD0074,2023-02-06,Changement d'avis,1,696.89,remboursé
RET00198,VNT002376,CLT08006,PRD0194,2024-08-22,Produit défectueux,2,626.91,remboursé
RET00199,VNT041454,CLT02484,PRD0143,2023-08-10,Produit défectueux,2,72.9,remboursé
RET00200,VNT030139,CLT06567,PRD0386,2024-10-21,Arrivé endommagé,1,74.98,remboursé
RET00201,VNT040524,CLT11524,PRD0396,2023-02-02,Ne correspond pas à la description,1,489.95,remboursé
RET00202,VNT004498,CLT09700,PRD0002,2022-05-16,Changement d'avis,1,6759.89,remboursé
RET00203,VNT047433,CLT08668,PRD0231,2024-04-06,Arrivé endommagé,2,2450.37,en_traitement
RET00204,VNT046480,CLT06798,PRD0163,2022-12-13,Mauvaise taille,3,2298.33,remboursé
RET00205,VNT000294,CLT10180,PRD0170,2024-03-02,Produit défectueux,1,1099.12,remboursé
RET00206,VNT031078,CLT01383,PRD0242,2024-11-14,Délai de livraison dépassé,1,761.76,refusé
RET00207,VNT053715,CLT01370,PRD0195,2024-08-30,Mauvaise taille,3,2563.28,remboursé
RET00208,VNT040015,CLT10900,PRD0375,2024-10-20,Ne correspond pas à la description,4,1266.37,remboursé
RET00209,VNT017593,CLT09904,PRD0186,2024-06-20,Ne correspond pas à la description,1,2890.99,remboursé
RET00210,VNT008745,CLT09535,PRD0260,2023-09-12,Arrivé endommagé,3,733.55,remboursé
RET00211,VNT014950,CLT07690,PRD0104,2022-12-29,Délai de livraison dépassé,1,111.72,remboursé
RET00212,VNT042249,CLT08005,PRD0211,2024-04-09,Ne correspond pas à la description,1,1409.8,remboursé
RET00213,VNT007785,CLT07143,PRD0166,2022-11-17,Qualité insuffisante,2,433.57,remboursé
RET00214,VNT014243,CLT02779,PRD0373,2024-03-28,Mauvaise taille,2,793.52,remboursé
RET00215,VNT019289,CLT11762,PRD0344,2022-04-11,Produit défectueux,3,690.34,remboursé
RET00216,VNT036099,CLT11745,PRD0199,2024-07-13,Délai de livraison dépassé,1,944.95,remboursé
RET00217,VNT018579,CLT02944,PRD0301,2023-01-09,Mauvaise taille,1,140.9,en_traitement
RET00218,VNT002224,CLT00188,PRD0186,2024-11-04,Qualité insuffisante,1,1856.15,remboursé
RET00219,VNT014563,CLT03133,PRD0111,2023-05-13,Arrivé endommagé,1,320.84,remboursé
RET00220,VNT048052,CLT02514,PRD0190,2023-10-03,Produit défectueux,4,3138.93,en_traitement
RET00221,VNT046667,CLT07090,PRD0381,2025-01-07,Ne correspond pas à la description,1,539.74,remboursé
RET00222,VNT013617,CLT08866,PRD0089,2024-01-23,Qualité insuffisante,1,2522.79,remboursé
RET00223,VNT001131,CLT08511,PRD0094,2022-05-05,Produit défectueux,1,1869.39,remboursé
RET00224,VNT054748,CLT08992,PRD0216,2024-02-07,Ne correspond pas à la description,5,4354.18,remboursé
RET00225,VNT038243,CLT02755,PRD0365,2024-05-31,Arrivé endommagé,1,311.65,remboursé
RET00226,VNT045460,CLT06325,PRD0353,2024-07-27,Ne correspond pas à la description,1,416.32,en_traitement
RET00227,VNT001985,CLT04878,PRD0303,2022-05-19,Ne correspond pas à la description,1,165.05,remboursé
RET00228,VNT053558,CLT06324,PRD0214,2024-10-06,Produit défectueux,1,2257.16,remboursé
RET00229,VNT052290,CLT03401,PRD0334,2023-09-07,Ne correspond pas à la description,2,96.81,remboursé
RET00230,VNT023044,CLT10658,PRD0258,2024-05-05,Qualité insuffisante,1,302.66,remboursé
RET00231,VNT035131,CLT09634,PRD0333,2022-01-27,Doublon de commande,1,95.15,remboursé
RET00232,VNT011082,CLT06781,PRD0287,2023-07-16,Doublon de commande,1,77.82,remboursé
RET00233,VNT001688,CLT07500,PRD0364,2022-09-01,Ne correspond pas à la description,1,169.72,remboursé
RET00234,VNT046963,CLT09965,PRD0274,2024-06-04,Produit défectueux,2,688.15,en_traitement
RET00235,VNT029054,CLT01690,PRD0156,2024-07-19,Arrivé endommagé,3,2016.74,remboursé
RET00236,VNT023391,CLT09481,PRD0044,2024-05-11,Ne correspond pas à la description,1,1866.52,remboursé
RET00237,VNT044526,CLT04194,PRD0029,2024-09-09,Délai de livraison dépassé,2,5676.77,remboursé
RET00238,VNT051964,CLT00911,PRD0266,2023-09-06,Mauvaise taille,1,60.95,remboursé
RET00239,VNT054170,CLT04052,PRD0101,2024-12-23,Mauvaise taille,1,27.66,remboursé
RET00240,VNT018818,CLT09751,PRD0345,2024-09-26,Mauvaise taille,3,393.87,remboursé
RET00241,VNT030933,CLT06086,PRD0279,2024-10-15,Changement d'avis,1,161.8,remboursé
RET00242,VNT015239,CLT00608,PRD0243,2023-11-15,Mauvaise taille,1,3826.96,remboursé
RET00243,VNT046866,CLT06265,PRD0389,2022-05-06,Produit défectueux,1,377.09,remboursé
RET00244,VNT013535,CLT02478,PRD0205,2024-04-26,Délai de livraison dépassé,1,1727.47,en_traitement
RET00245,VNT024570,CLT04561,PRD0212,2023-03-04,Produit défectueux,2,3022.85,remboursé
RET00246,VNT011444,CLT06840,PRD0383,2024-10-25,Produit défectueux,1,282.66,en_traitement
RET00247,VNT050236,CLT00374,PRD0202,2022-09-19,Produit défectueux,1,788.78,remboursé
RET00248,VNT005322,CLT06463,PRD0227,2024-06-03,Mauvaise taille,1,7266.45,en_traitement
RET00249,VNT053246,CLT02012,PRD0206,2024-04-24,Mauvaise taille,1,5249.93,remboursé
RET00250,VNT038215,CLT09015,PRD0135,2022-03-26,Produit défectueux,4,311.31,en_traitement
RET00251,VNT038715,CLT03329,PRD0087,2023-06-21,Ne correspond pas à la description,4,4661.98,remboursé
RET00252,VNT043482,CLT05562,PRD0146,2022-02-12,Produit défectueux,1,66.94,refusé
RET00253,VNT049422,CLT05621,PRD0022,2023-06-29,Ne correspond pas à la description,7,2816.71,remboursé
RET00254,VNT038032,CLT06692,PRD0270,2023-02-08,Doublon de commande,1,795.49,remboursé
RET00255,VNT011032,CLT04310,PRD0128,2022-10-05,Produit défectueux,1,372.16,remboursé
RET00256,VNT018782,CLT07549,PRD0134,2024-08-20,Ne correspond pas à la description,2,182.09,refusé
RET00257,VNT008130,CLT10645,PRD0145,2024-05-05,Ne correspond pas à la description,4,88.2,en_traitement
RET00258,VNT021651,CLT03459,PRD0167,2024-10-29,Mauvaise taille,1,462.54,en_traitement
RET00259,VNT015566,CLT03699,PRD0223,2023-09-08,Produit défectueux,4,5976.62,en_traitement
RET00260,VNT032671,CLT00780,PRD0303,2023-12-29,Arrivé endommagé,1,189.25,remboursé
RET00261,VNT033521,CLT09471,PRD0379,2023-11-05,Ne correspond pas à la description,1,458.59,remboursé
RET00262,VNT009112,CLT11418,PRD0120,2023-11-08,Arrivé endommagé,1,123.53,en_traitement
RET00263,VNT046612,CLT04560,PRD0335,2023-12-05,Produit défectueux,3,551.67,remboursé
RET00264,VNT027082,CLT09168,PRD0044,2022-09-15,Ne correspond pas à la description,3,6214.83,remboursé
RET00265,VNT029646,CLT02283,PRD0380,2024-06-04,Produit défectueux,2,919.78,remboursé
RET00266,VNT048582,CLT09950,PRD0393,2024-03-10,Arrivé endommagé,2,1283.05,remboursé
RET00267,VNT005255,CLT04693,PRD0167,2022-11-26,Produit défectueux,1,2824.47,remboursé
RET00268,VNT010331,CLT05078,PRD0305,2024-05-23,Arrivé endommagé,1,200.15,remboursé
RET00269,VNT044760,CLT08125,PRD0006,2023-11-20,Doublon de commande,1,1901.32,remboursé
RET00270,VNT049323,CLT03763,PRD0069,2023-01-06,Produit défectueux,1,1184.27,remboursé
RET00271,VNT044598,CLT02469,PRD0047,2023-03-31,Ne correspond pas à la description,1,2742.29,en_traitement
